Policy Scope,Policy Duration,Enforcement Intensity,Best Advocacy Method
County,Permanent,Punitive,Documentary
National,Trial,Moderate Enforcement,Media Outreach
Neighborhood,Trial,Community-Enforced,Petition
Region,Temporary,Moderate Enforcement,Public Comment
National,Permanent,Light Enforcement,Direct Email to Representative
Neighborhood,Medium-Term,Symbolic Only,Meme Campaign
Global,Short-Term,Punitive,Academic Paper
Continental,Permanent,Light Enforcement,Academic Paper
Cross-Border,Short-Term,Community-Enforced,Public Art
City,Medium-Term,Community-Enforced,Citizen Report
City,Long-Term,Light Enforcement,Join Advocacy Group
Cross-Border,Trial,Surveillance-Based,Protest
Continental,Permanent,Symbolic Only,Op-ed
Cross-Border,Long-Term,Community-Enforced,Media Outreach
Province,Long-Term,Not Enforced,Petition
Province,Short-Term,Moderate Enforcement,Podcast
National,Permanent,Moderate Enforcement,Social Media Campaign
City,Trial,Minimal,Public Comment
International,Short-Term,Strict Enforcement,Media Outreach
National,Medium-Term,Light Enforcement,Lawsuit
Continental,Long-Term,Surveillance-Based,Op-ed
Continental,Long-Term,Surveillance-Based,Social Media Campaign
Neighborhood,Long-Term,Not Enforced,Media Outreach
County,Short-Term,Symbolic Only,Social Media Campaign
Region,Long-Term,Minimal,Op-ed
International,Medium-Term,Strict Enforcement,Lobby Group
International,Medium-Term,Surveillance-Based,Lawsuit
Region,Permanent,Symbolic Only,Podcast
Global,Long-Term,Not Enforced,Town Hall
City,Medium-Term,Surveillance-Based,Citizen Report
City,Medium-Term,Not Enforced,Citizen Report
County,Temporary,Strict Enforcement,Join Advocacy Group
National,Short-Term,Community-Enforced,Public Poll
State,Trial,Minimal,Podcast
Cross-Border,Permanent,Surveillance-Based,Media Outreach
City,Long-Term,Light Enforcement,Influencer Collaboration
National,Temporary,Light Enforcement,Newsletter
Neighborhood,Long-Term,Moderate Enforcement,Lawsuit
County,Long-Term,Not Enforced,Town Hall
Global,Short-Term,Community-Enforced,Influencer Collaboration
Province,Long-Term,Strict Enforcement,Social Media Campaign
Cross-Border,Short-Term,Punitive,Protest
City,Long-Term,Symbolic Only,Social Media Campaign
Continental,Trial,Moderate Enforcement,Social Media Campaign
International,Medium-Term,Punitive,Media Outreach
International,Short-Term,Strict Enforcement,Media Outreach
County,Medium-Term,Moderate Enforcement,Direct Email to Representative
Global,Trial,Symbolic Only,Meme Campaign
Global,Short-Term,Community-Enforced,Public Comment
Region,Temporary,Light Enforcement,Social Media Campaign
Continental,Permanent,Minimal,Podcast
National,Short-Term,Symbolic Only,Meme Campaign
State,Temporary,Minimal,Op-ed
International,Medium-Term,Community-Enforced,Public Art
Region,Temporary,Not Enforced,Public Comment
International,Short-Term,Light Enforcement,Op-ed
City,Long-Term,Community-Enforced,Town Hall
City,Permanent,Light Enforcement,Lawsuit
National,Temporary,Light Enforcement,Public Comment
Province,Medium-Term,Symbolic Only,Social Media Campaign
County,Medium-Term,Moderate Enforcement,Lawsuit
Continental,Long-Term,Moderate Enforcement,Town Hall
Cross-Border,Temporary,Not Enforced,Town Hall
Province,Short-Term,Minimal,Social Media Campaign
Global,Permanent,Surveillance-Based,Podcast
Global,Long-Term,Not Enforced,Public Poll
National,Medium-Term,Symbolic Only,Social Media Campaign
National,Long-Term,Symbolic Only,Social Media Campaign
Continental,Trial,Moderate Enforcement,Citizen Report
County,Long-Term,Not Enforced,Influencer Collaboration
International,Long-Term,Not Enforced,Public Comment
Province,Temporary,Symbolic Only,Op-ed
City,Permanent,Surveillance-Based,Protest
City,Long-Term,Surveillance-Based,Op-ed
Neighborhood,Long-Term,Symbolic Only,Social Media Campaign
State,Medium-Term,Community-Enforced,Petition
Neighborhood,Permanent,Community-Enforced,Influencer Collaboration
International,Permanent,Strict Enforcement,Documentary
Continental,Medium-Term,Community-Enforced,Join Advocacy Group
County,Long-Term,Light Enforcement,GoFundMe Awareness
International,Short-Term,Symbolic Only,Social Media Campaign
City,Permanent,Symbolic Only,Op-ed
County,Short-Term,Surveillance-Based,Op-ed
City,Short-Term,Moderate Enforcement,Petition
National,Short-Term,Minimal,Op-ed
Global,Medium-Term,Strict Enforcement,Media Outreach
Continental,Temporary,Moderate Enforcement,Citizen Report
Neighborhood,Long-Term,Minimal,Podcast
Region,Trial,Strict Enforcement,Op-ed
Cross-Border,Temporary,Moderate Enforcement,Public Art
Continental,Short-Term,Moderate Enforcement,Direct Email to Representative
State,Long-Term,Light Enforcement,Documentary
Province,Permanent,Light Enforcement,Public Art
Global,Short-Term,Not Enforced,Lawsuit
State,Short-Term,Minimal,Social Media Campaign
Neighborhood,Trial,Community-Enforced,Town Hall
International,Temporary,Surveillance-Based,Petition
Cross-Border,Short-Term,Community-Enforced,Lawsuit
City,Permanent,Light Enforcement,GoFundMe Awareness
County,Temporary,Punitive,Media Outreach
Province,Medium-Term,Not Enforced,Public Poll
International,Medium-Term,Moderate Enforcement,Town Hall
Continental,Long-Term,Light Enforcement,Citizen Report
State,Short-Term,Strict Enforcement,Join Advocacy Group
City,Trial,Strict Enforcement,Petition
Cross-Border,Long-Term,Community-Enforced,Public Art
Global,Long-Term,Symbolic Only,Op-ed
Neighborhood,Long-Term,Symbolic Only,Podcast
County,Trial,Moderate Enforcement,Public Comment
City,Medium-Term,Surveillance-Based,Protest
State,Trial,Moderate Enforcement,Documentary
Cross-Border,Medium-Term,Punitive,Join Advocacy Group
Neighborhood,Temporary,Surveillance-Based,Petition
City,Medium-Term,Punitive,Citizen Report
Region,Short-Term,Strict Enforcement,Petition
Neighborhood,Short-Term,Minimal,Social Media Campaign
Continental,Medium-Term,Punitive,Meme Campaign
State,Trial,Punitive,Op-ed
State,Temporary,Symbolic Only,Meme Campaign
Neighborhood,Long-Term,Community-Enforced,Join Advocacy Group
Global,Permanent,Not Enforced,Newsletter
Region,Medium-Term,Moderate Enforcement,Social Media Campaign
Cross-Border,Trial,Minimal,Podcast
State,Short-Term,Strict Enforcement,Influencer Collaboration
Region,Temporary,Not Enforced,Influencer Collaboration
Province,Long-Term,Symbolic Only,Op-ed
International,Medium-Term,Punitive,Documentary
Cross-Border,Permanent,Symbolic Only,Meme Campaign
Continental,Temporary,Community-Enforced,Citizen Report
Global,Medium-Term,Punitive,Newsletter
National,Long-Term,Strict Enforcement,Media Outreach
County,Trial,Punitive,Join Advocacy Group
International,Permanent,Not Enforced,Citizen Report
Region,Temporary,Moderate Enforcement,Direct Email to Representative
International,Trial,Punitive,Influencer Collaboration
City,Long-Term,Strict Enforcement,Documentary
County,Temporary,Punitive,Public Art
State,Short-Term,Light Enforcement,Influencer Collaboration
County,Long-Term,Moderate Enforcement,Influencer Collaboration
Neighborhood,Long-Term,Strict Enforcement,Meme Campaign
Neighborhood,Medium-Term,Not Enforced,Public Poll
City,Medium-Term,Surveillance-Based,Meme Campaign
City,Short-Term,Light Enforcement,Viral Video
Region,Medium-Term,Moderate Enforcement,GoFundMe Awareness
Province,Permanent,Not Enforced,Media Outreach
State,Temporary,Punitive,Newsletter
Region,Trial,Moderate Enforcement,Documentary
State,Long-Term,Strict Enforcement,GoFundMe Awareness
Cross-Border,Short-Term,Punitive,Public Art
Global,Short-Term,Surveillance-Based,Public Poll
City,Medium-Term,Community-Enforced,Join Advocacy Group
Cross-Border,Temporary,Moderate Enforcement,Protest
State,Long-Term,Not Enforced,Documentary
Region,Medium-Term,Strict Enforcement,Public Comment
Continental,Short-Term,Moderate Enforcement,Protest
Neighborhood,Temporary,Symbolic Only,Town Hall
International,Medium-Term,Symbolic Only,Meme Campaign
Region,Temporary,Community-Enforced,Direct Email to Representative
Cross-Border,Medium-Term,Punitive,Media Outreach
International,Temporary,Moderate Enforcement,Media Outreach
Cross-Border,Medium-Term,Community-Enforced,Public Comment
State,Medium-Term,Surveillance-Based,Influencer Collaboration
Global,Permanent,Light Enforcement,Meme Campaign
National,Medium-Term,Not Enforced,Public Poll
Continental,Trial,Light Enforcement,Newsletter
Continental,Short-Term,Minimal,Meme Campaign
Province,Permanent,Punitive,Join Advocacy Group
National,Permanent,Community-Enforced,Lawsuit
Region,Temporary,Not Enforced,Public Art
Continental,Short-Term,Community-Enforced,Petition
County,Permanent,Strict Enforcement,Public Comment
International,Temporary,Minimal,Op-ed
International,Trial,Minimal,Op-ed
State,Trial,Surveillance-Based,Op-ed
Neighborhood,Medium-Term,Moderate Enforcement,Public Poll
County,Medium-Term,Surveillance-Based,Public Poll
State,Permanent,Light Enforcement,GoFundMe Awareness
Cross-Border,Permanent,Not Enforced,Op-ed
State,Medium-Term,Community-Enforced,Documentary
County,Temporary,Community-Enforced,Influencer Collaboration
International,Trial,Minimal,Podcast
Global,Medium-Term,Surveillance-Based,Citizen Report
County,Trial,Punitive,Social Media Campaign
Province,Long-Term,Symbolic Only,Podcast
Province,Permanent,Punitive,Op-ed
International,Temporary,Surveillance-Based,Public Comment
Continental,Temporary,Not Enforced,Meme Campaign
City,Short-Term,Light Enforcement,Public Comment
Neighborhood,Medium-Term,Light Enforcement,Join Advocacy Group
Neighborhood,Medium-Term,Community-Enforced,Citizen Report
National,Permanent,Moderate Enforcement,Social Media Campaign
National,Temporary,Symbolic Only,Op-ed
Province,Long-Term,Minimal,Op-ed
Continental,Medium-Term,Punitive,Petition
State,Medium-Term,Minimal,Op-ed
Global,Short-Term,Community-Enforced,Protest
Province,Permanent,Surveillance-Based,Petition
Continental,Short-Term,Surveillance-Based,Social Media Campaign
Continental,Trial,Punitive,Newsletter
State,Short-Term,Light Enforcement,Media Outreach
County,Permanent,Symbolic Only,Meme Campaign
State,Temporary,Moderate Enforcement,Public Comment
National,Temporary,Minimal,Social Media Campaign
Cross-Border,Long-Term,Punitive,Public Art
Province,Short-Term,Minimal,Social Media Campaign
Global,Trial,Surveillance-Based,Social Media Campaign
Global,Long-Term,Strict Enforcement,Social Media Campaign
National,Medium-Term,Not Enforced,Op-ed
Neighborhood,Trial,Surveillance-Based,Petition
National,Permanent,Symbolic Only,Meme Campaign
National,Medium-Term,Symbolic Only,Meme Campaign
National,Long-Term,Light Enforcement,Op-ed
Neighborhood,Temporary,Moderate Enforcement,Petition
Cross-Border,Long-Term,Strict Enforcement,Podcast
County,Permanent,Not Enforced,Meme Campaign
National,Permanent,Symbolic Only,Op-ed
City,Temporary,Moderate Enforcement,Petition
Region,Medium-Term,Moderate Enforcement,Documentary
Global,Medium-Term,Minimal,Social Media Campaign
Province,Trial,Strict Enforcement,Protest
Province,Temporary,Moderate Enforcement,Newsletter
City,Trial,Light Enforcement,Petition
Global,Medium-Term,Minimal,Social Media Campaign
Continental,Permanent,Not Enforced,Public Art
National,Short-Term,Strict Enforcement,Documentary
Global,Trial,Not Enforced,Viral Video
National,Short-Term,Minimal,Op-ed
International,Short-Term,Not Enforced,Petition
Continental,Long-Term,Symbolic Only,Social Media Campaign
Province,Short-Term,Strict Enforcement,Op-ed
State,Permanent,Punitive,Public Poll
International,Trial,Strict Enforcement,Documentary
National,Trial,Community-Enforced,Social Media Campaign
Province,Short-Term,Symbolic Only,Meme Campaign
Cross-Border,Short-Term,Surveillance-Based,Academic Paper
Global,Trial,Not Enforced,Petition
International,Permanent,Strict Enforcement,Lobby Group
Continental,Short-Term,Symbolic Only,Social Media Campaign
National,Medium-Term,Strict Enforcement,Media Outreach
Province,Trial,Punitive,GoFundMe Awareness
State,Temporary,Light Enforcement,Lawsuit
International,Long-Term,Community-Enforced,Viral Video
National,Long-Term,Not Enforced,GoFundMe Awareness
Region,Short-Term,Minimal,Social Media Campaign
Region,Trial,Strict Enforcement,Meme Campaign
City,Short-Term,Light Enforcement,Podcast
National,Temporary,Symbolic Only,Social Media Campaign
Region,Temporary,Surveillance-Based,Citizen Report
Continental,Trial,Moderate Enforcement,Documentary
County,Medium-Term,Light Enforcement,Op-ed
National,Temporary,Community-Enforced,Public Poll
City,Long-Term,Moderate Enforcement,Media Outreach
Neighborhood,Temporary,Community-Enforced,Petition
International,Permanent,Light Enforcement,Podcast
International,Trial,Strict Enforcement,Lobby Group
National,Permanent,Surveillance-Based,Documentary
County,Medium-Term,Minimal,Social Media Campaign
City,Temporary,Surveillance-Based,Public Comment
National,Permanent,Light Enforcement,Viral Video
County,Trial,Symbolic Only,Meme Campaign
Region,Trial,Punitive,Podcast
City,Trial,Minimal,Petition
Neighborhood,Trial,Symbolic Only,Petition
City,Permanent,Symbolic Only,Op-ed
County,Medium-Term,Moderate Enforcement,Meme Campaign
State,Permanent,Symbolic Only,Social Media Campaign
State,Permanent,Punitive,Influencer Collaboration
County,Medium-Term,Symbolic Only,Social Media Campaign
Neighborhood,Short-Term,Community-Enforced,Petition
Continental,Medium-Term,Symbolic Only,Social Media Campaign
Global,Long-Term,Surveillance-Based,Lawsuit
State,Temporary,Surveillance-Based,Meme Campaign
Province,Long-Term,Strict Enforcement,GoFundMe Awareness
National,Short-Term,Not Enforced,Public Comment
Neighborhood,Medium-Term,Surveillance-Based,Public Comment
City,Medium-Term,Strict Enforcement,Viral Video
Region,Trial,Surveillance-Based,Influencer Collaboration
Province,Trial,Light Enforcement,Newsletter
International,Medium-Term,Not Enforced,Documentary
Region,Permanent,Surveillance-Based,GoFundMe Awareness
Global,Long-Term,Minimal,Meme Campaign
Province,Short-Term,Community-Enforced,Petition
National,Long-Term,Symbolic Only,Meme Campaign
Continental,Permanent,Minimal,Social Media Campaign
Global,Temporary,Community-Enforced,Academic Paper
Neighborhood,Medium-Term,Community-Enforced,Lawsuit
Cross-Border,Permanent,Light Enforcement,Op-ed
Continental,Long-Term,Symbolic Only,Op-ed
County,Medium-Term,Punitive,Public Poll
Neighborhood,Permanent,Punitive,Public Art
Cross-Border,Medium-Term,Surveillance-Based,Public Art
Neighborhood,Trial,Not Enforced,Petition
City,Medium-Term,Minimal,Op-ed
Continental,Long-Term,Not Enforced,Media Outreach
State,Trial,Symbolic Only,Meme Campaign
Cross-Border,Trial,Punitive,Lawsuit
Global,Short-Term,Not Enforced,Media Outreach
County,Trial,Symbolic Only,Op-ed
International,Permanent,Community-Enforced,Influencer Collaboration
Global,Long-Term,Strict Enforcement,Join Advocacy Group
Global,Short-Term,Not Enforced,Lawsuit
Global,Temporary,Moderate Enforcement,Petition
Region,Temporary,Surveillance-Based,Public Poll
Province,Trial,Punitive,Op-ed
Cross-Border,Permanent,Strict Enforcement,Lawsuit
Neighborhood,Trial,Light Enforcement,Petition
State,Permanent,Punitive,Lawsuit
Region,Permanent,Punitive,Influencer Collaboration
International,Permanent,Surveillance-Based,Viral Video
City,Temporary,Strict Enforcement,Town Hall
Cross-Border,Medium-Term,Moderate Enforcement,Social Media Campaign
Global,Permanent,Moderate Enforcement,Lawsuit
International,Temporary,Moderate Enforcement,Direct Email to Representative
City,Permanent,Light Enforcement,Viral Video
Global,Short-Term,Not Enforced,Meme Campaign
Province,Trial,Not Enforced,Newsletter
County,Trial,Symbolic Only,Podcast
Neighborhood,Long-Term,Light Enforcement,Newsletter
Province,Temporary,Punitive,Viral Video
County,Long-Term,Surveillance-Based,Podcast
Region,Trial,Community-Enforced,Documentary
Neighborhood,Short-Term,Community-Enforced,Viral Video
Region,Permanent,Strict Enforcement,Join Advocacy Group
Global,Short-Term,Symbolic Only,Op-ed
National,Permanent,Minimal,Op-ed
Neighborhood,Long-Term,Minimal,Meme Campaign
Cross-Border,Short-Term,Punitive,Media Outreach
National,Trial,Not Enforced,Citizen Report
State,Medium-Term,Not Enforced,Op-ed
International,Trial,Surveillance-Based,Protest
Cross-Border,Trial,Light Enforcement,Join Advocacy Group
Neighborhood,Trial,Moderate Enforcement,Town Hall
Province,Trial,Moderate Enforcement,Direct Email to Representative
National,Trial,Symbolic Only,Op-ed
Cross-Border,Trial,Light Enforcement,Lawsuit
Neighborhood,Trial,Strict Enforcement,Public Comment
National,Permanent,Minimal,Op-ed
Continental,Short-Term,Punitive,Citizen Report
Global,Medium-Term,Community-Enforced,Meme Campaign
International,Temporary,Moderate Enforcement,Protest
Cross-Border,Medium-Term,Light Enforcement,Viral Video
State,Permanent,Surveillance-Based,Petition
National,Trial,Punitive,Influencer Collaboration
National,Permanent,Light Enforcement,Op-ed
International,Permanent,Punitive,Media Outreach
Global,Long-Term,Minimal,Meme Campaign
Cross-Border,Trial,Minimal,Meme Campaign
International,Medium-Term,Not Enforced,Social Media Campaign
Region,Permanent,Surveillance-Based,Protest
City,Long-Term,Strict Enforcement,Podcast
National,Long-Term,Moderate Enforcement,Lawsuit
Region,Permanent,Moderate Enforcement,Op-ed
International,Trial,Surveillance-Based,Public Poll
State,Temporary,Moderate Enforcement,GoFundMe Awareness
Province,Trial,Moderate Enforcement,Town Hall
Region,Short-Term,Moderate Enforcement,Podcast
Region,Permanent,Symbolic Only,Social Media Campaign
State,Short-Term,Punitive,Op-ed
International,Permanent,Light Enforcement,GoFundMe Awareness
Cross-Border,Permanent,Punitive,Join Advocacy Group
County,Long-Term,Surveillance-Based,Influencer Collaboration
Region,Medium-Term,Minimal,Podcast
International,Medium-Term,Surveillance-Based,Public Art
County,Short-Term,Symbolic Only,Podcast
County,Short-Term,Minimal,Op-ed
Cross-Border,Trial,Symbolic Only,Op-ed
Continental,Trial,Community-Enforced,Influencer Collaboration
International,Medium-Term,Community-Enforced,Join Advocacy Group
County,Short-Term,Punitive,Lawsuit
City,Short-Term,Community-Enforced,Public Poll
State,Permanent,Moderate Enforcement,Citizen Report
Region,Trial,Not Enforced,Meme Campaign
Cross-Border,Trial,Strict Enforcement,Op-ed
Neighborhood,Trial,Punitive,Public Comment
County,Temporary,Light Enforcement,Academic Paper
Cross-Border,Long-Term,Punitive,Direct Email to Representative
Global,Medium-Term,Moderate Enforcement,Newsletter
Continental,Medium-Term,Minimal,Podcast
Province,Long-Term,Minimal,Podcast
County,Permanent,Moderate Enforcement,Influencer Collaboration
City,Short-Term,Punitive,Documentary
Global,Temporary,Surveillance-Based,Podcast
Cross-Border,Short-Term,Minimal,Podcast
City,Short-Term,Symbolic Only,Op-ed
Region,Short-Term,Moderate Enforcement,Influencer Collaboration
Cross-Border,Short-Term,Surveillance-Based,Lawsuit
Province,Short-Term,Minimal,Social Media Campaign
Province,Permanent,Light Enforcement,Lawsuit
City,Permanent,Moderate Enforcement,Public Art
State,Trial,Moderate Enforcement,Direct Email to Representative
Province,Long-Term,Minimal,Podcast
State,Short-Term,Moderate Enforcement,Town Hall
Continental,Long-Term,Strict Enforcement,Media Outreach
Province,Temporary,Not Enforced,Protest
Neighborhood,Temporary,Minimal,Petition
International,Trial,Not Enforced,Documentary
Province,Long-Term,Symbolic Only,Op-ed
State,Trial,Minimal,Meme Campaign
Continental,Temporary,Strict Enforcement,Media Outreach
Continental,Trial,Light Enforcement,Public Art
Continental,Long-Term,Strict Enforcement,Social Media Campaign
Continental,Medium-Term,Not Enforced,Podcast
Province,Permanent,Not Enforced,Viral Video
Global,Short-Term,Surveillance-Based,Public Poll
Neighborhood,Permanent,Not Enforced,Influencer Collaboration
Continental,Temporary,Moderate Enforcement,GoFundMe Awareness
International,Temporary,Strict Enforcement,Influencer Collaboration
Global,Medium-Term,Minimal,Social Media Campaign
National,Short-Term,Strict Enforcement,Media Outreach
State,Permanent,Community-Enforced,Petition
State,Medium-Term,Not Enforced,Public Comment
National,Short-Term,Moderate Enforcement,Public Art
Global,Long-Term,Strict Enforcement,Public Art
Province,Trial,Minimal,Social Media Campaign
County,Temporary,Not Enforced,Town Hall
City,Temporary,Not Enforced,Public Comment
Neighborhood,Trial,Moderate Enforcement,Public Comment
State,Trial,Moderate Enforcement,Lawsuit
Cross-Border,Medium-Term,Surveillance-Based,Media Outreach
State,Permanent,Not Enforced,Media Outreach
City,Short-Term,Surveillance-Based,Viral Video
National,Short-Term,Community-Enforced,Direct Email to Representative
City,Medium-Term,Minimal,Podcast
City,Permanent,Strict Enforcement,Town Hall
County,Permanent,Moderate Enforcement,Citizen Report
Global,Trial,Punitive,Viral Video
International,Short-Term,Minimal,Podcast
Region,Medium-Term,Punitive,Public Comment
City,Short-Term,Light Enforcement,Documentary
County,Permanent,Surveillance-Based,Newsletter
Region,Permanent,Surveillance-Based,Academic Paper
County,Medium-Term,Surveillance-Based,Public Poll
Cross-Border,Medium-Term,Punitive,Lawsuit
Cross-Border,Permanent,Surveillance-Based,Petition
State,Permanent,Minimal,Op-ed
Cross-Border,Permanent,Symbolic Only,Op-ed
County,Trial,Minimal,Podcast
Region,Long-Term,Surveillance-Based,Academic Paper
Province,Long-Term,Surveillance-Based,Public Poll
Region,Temporary,Not Enforced,Citizen Report
City,Long-Term,Punitive,Podcast
International,Short-Term,Community-Enforced,Academic Paper
Continental,Temporary,Community-Enforced,Media Outreach
Cross-Border,Trial,Punitive,Social Media Campaign
Province,Short-Term,Symbolic Only,Op-ed
City,Permanent,Surveillance-Based,Viral Video
Province,Medium-Term,Moderate Enforcement,Influencer Collaboration
Cross-Border,Short-Term,Community-Enforced,Town Hall
International,Trial,Moderate Enforcement,Public Comment
Region,Temporary,Strict Enforcement,Podcast
National,Long-Term,Minimal,Social Media Campaign
Region,Medium-Term,Punitive,Op-ed
International,Long-Term,Punitive,Documentary
International,Permanent,Not Enforced,Newsletter
State,Long-Term,Symbolic Only,Meme Campaign
National,Temporary,Light Enforcement,Op-ed
State,Temporary,Minimal,Social Media Campaign
Cross-Border,Trial,Community-Enforced,Social Media Campaign
Cross-Border,Medium-Term,Minimal,Podcast
Global,Trial,Light Enforcement,Meme Campaign
City,Temporary,Strict Enforcement,Town Hall
Global,Long-Term,Light Enforcement,Viral Video
City,Medium-Term,Minimal,Op-ed
Region,Permanent,Light Enforcement,Viral Video
International,Trial,Surveillance-Based,Public Comment
Continental,Long-Term,Not Enforced,Join Advocacy Group
County,Trial,Punitive,Protest
County,Trial,Symbolic Only,Op-ed
Cross-Border,Long-Term,Community-Enforced,Newsletter
County,Long-Term,Not Enforced,Meme Campaign
International,Temporary,Not Enforced,Media Outreach
National,Trial,Surveillance-Based,GoFundMe Awareness
Neighborhood,Trial,Symbolic Only,Public Comment
County,Short-Term,Not Enforced,Protest
Province,Medium-Term,Symbolic Only,Podcast
City,Short-Term,Light Enforcement,Influencer Collaboration
National,Temporary,Light Enforcement,Meme Campaign
National,Long-Term,Light Enforcement,Academic Paper
State,Temporary,Moderate Enforcement,Viral Video
Province,Medium-Term,Minimal,Podcast
County,Trial,Strict Enforcement,Citizen Report
Continental,Permanent,Light Enforcement,Social Media Campaign
Cross-Border,Medium-Term,Light Enforcement,Op-ed
State,Short-Term,Minimal,Meme Campaign
Neighborhood,Permanent,Strict Enforcement,Podcast
State,Short-Term,Not Enforced,Influencer Collaboration
National,Long-Term,Minimal,Social Media Campaign
Cross-Border,Temporary,Strict Enforcement,Op-ed
Continental,Short-Term,Not Enforced,Social Media Campaign
State,Long-Term,Light Enforcement,Citizen Report
State,Permanent,Symbolic Only,Op-ed
County,Long-Term,Punitive,Citizen Report
National,Permanent,Punitive,Lobby Group
Province,Medium-Term,Moderate Enforcement,Protest
International,Permanent,Punitive,Influencer Collaboration
Province,Short-Term,Moderate Enforcement,Direct Email to Representative
National,Permanent,Symbolic Only,Meme Campaign
City,Permanent,Moderate Enforcement,Lawsuit
State,Long-Term,Symbolic Only,Social Media Campaign
National,Permanent,Minimal,Op-ed
International,Medium-Term,Minimal,Meme Campaign
National,Long-Term,Community-Enforced,Media Outreach
International,Permanent,Strict Enforcement,Influencer Collaboration
County,Trial,Not Enforced,Media Outreach
Continental,Trial,Surveillance-Based,Citizen Report
Global,Trial,Moderate Enforcement,Media Outreach
Cross-Border,Permanent,Punitive,Lawsuit
State,Long-Term,Not Enforced,Social Media Campaign
Province,Medium-Term,Surveillance-Based,Documentary
County,Trial,Minimal,Meme Campaign
Cross-Border,Medium-Term,Not Enforced,Protest
Province,Medium-Term,Surveillance-Based,Media Outreach
City,Long-Term,Moderate Enforcement,GoFundMe Awareness
Global,Medium-Term,Symbolic Only,Social Media Campaign
City,Long-Term,Not Enforced,Protest
Continental,Temporary,Minimal,Social Media Campaign
International,Medium-Term,Not Enforced,Influencer Collaboration
Continental,Permanent,Community-Enforced,Op-ed
Global,Permanent,Minimal,Meme Campaign
Region,Temporary,Punitive,Academic Paper
County,Long-Term,Light Enforcement,Town Hall
Continental,Trial,Moderate Enforcement,Podcast
Cross-Border,Temporary,Surveillance-Based,Op-ed
Global,Short-Term,Punitive,Viral Video
Neighborhood,Trial,Punitive,Town Hall
State,Trial,Community-Enforced,Direct Email to Representative
Cross-Border,Medium-Term,Punitive,Citizen Report
Global,Permanent,Strict Enforcement,Citizen Report
National,Long-Term,Strict Enforcement,Lobby Group
State,Short-Term,Community-Enforced,Meme Campaign
City,Medium-Term,Not Enforced,Petition
Province,Medium-Term,Light Enforcement,Op-ed
City,Short-Term,Punitive,Influencer Collaboration
City,Trial,Surveillance-Based,Town Hall
County,Short-Term,Not Enforced,Citizen Report
State,Permanent,Symbolic Only,Op-ed
Province,Short-Term,Light Enforcement,Public Art
Global,Medium-Term,Light Enforcement,Public Poll
National,Short-Term,Punitive,Lobby Group
Province,Trial,Symbolic Only,Meme Campaign
International,Short-Term,Minimal,Op-ed
Cross-Border,Temporary,Minimal,Op-ed
Cross-Border,Short-Term,Not Enforced,Meme Campaign
County,Trial,Community-Enforced,Op-ed
Continental,Medium-Term,Surveillance-Based,Town Hall
State,Short-Term,Community-Enforced,Media Outreach
Cross-Border,Permanent,Punitive,Lawsuit
Cross-Border,Temporary,Light Enforcement,Influencer Collaboration
Province,Short-Term,Light Enforcement,Join Advocacy Group
State,Temporary,Moderate Enforcement,Meme Campaign
State,Trial,Symbolic Only,Op-ed
Global,Permanent,Community-Enforced,Social Media Campaign
National,Trial,Community-Enforced,Media Outreach
Province,Permanent,Minimal,Podcast
Continental,Short-Term,Punitive,Join Advocacy Group
Continental,Temporary,Symbolic Only,Op-ed
